7,7.75,5,6,7,7.50,5.25,7,5.50,7,6.50,6.50,5.50,7,7.50,7.50,7.25,5.75,8.50,5.75,7.25,6.75,6.50,8,8,6.75,7.75,7.50,7,7.75
7.50,10.25,7.75,9,8,8,10.00,8,6.50,9,6,6,8.50,6.25,6.75,7,7.50,8,6.50,6.25,6.75,6.50,5.50,5.50,5.50,5.50,4,6.50,4.25,7.50
7.25,9.25,7.25,9.50,9,6.50,9,6.75,6.25,8,7.50,8.50,7.50,8.25,8.75,9,9.75,6,7.25,7,8,6.75,8,5.75,7,6.25,6.25,6.75,6.75,7
6.50,8.25,6,7,7.50,6.25,6.50,7.50,6.50,7.75,5,6.75,8.50,6.25,6.50,8.25,7.50,8.50,6.50,8,7.50,6.50,6,5.75,7.50,5,7,7,6.25,6
5.50,6.50,6.25,7,7.50,6.25,10,6.50,6.50,8.50,7.50,6.50,7.50,6.25,8,8,8,8,8.25,7,9.50,5.50,8,4.50,8,8,8,7.50,5.25,8.25
6,7.75,6,8.50,6,6.25,8,8,7.50,7.50,7.75,7.75,7.75,7.25,7.50,8.25,9.75,6.50,7.50,9,7,6,9,6.75,9.75,7.25,7.50,7,5.75,7
7.75,6.50,5.50,8,7,6.50,10.25,6.75,8.50,8,7.75,7.50,7.50,7.50,8.50,10.50,8.25,7.50,8.25,9.25,8,6,8,6.25,8,7,7.50,5.50,6.75,7.50
5.75,7.50,5.25,6,6.75,5,7,8,8,8.50,6.75,8.50,8,7.75,9.25,8.75,9.50,6.50,7,7.50,7.25,5.25,6.50,7,10.50,7.50,7.75,8,6,6.50
5.25,5.25,4.50,4.75,5,5,6.50,6.25,6.25,7,7.25,7.50,7.25,7,7.25,8,7.25,7.25,7.50,8,6.75,6.50,8,6.25,8.25,8,8,7,6.50,8
6,5.50,4.25,5.75,5.25,5.25,6.75,5.50,5.50,8.25,5.75,8,6.50,6,8.75,7.25,6.75,8,6,7.75,7,7,6,6,7,5.50,8.75,6.50,7,7
6.25,5,5.50,5.75,6.50,6.50,6.25,7.25,6.50,10,7,8.50,8.25,7.75,8,8.50,7.75,7,7.50,9.50,8.25,8.50,9.50,6.75,9.50,9,7.25,10.50,7.25,9
6.25,6,5.50,4.50,7.50,4.50,6,5.25,5.50,5.75,6.50,6.25,5.25,5.50,7.25,8.75,7,6.50,7,9.50,8,6.75,6.25,5.50,6.50,6.50,8.50,7,7.25,6
5.50,6.25,5.50,5.75,6,5.50,7,5,7,6.75,6,6.50,6.50,7,7.50,8.75,8.50,9,6.50,10,8.50,6.75,7.25,6,7.50,8.50,8,8.25,6,5.75
6,5.25,5,5.75,5,6.75,6.75,5.75,5.50,6,6.50,7.25,8,5.25,6.25,7.75,7.25,8.50,9.25,7.50,8.50,7.75,6.75,6,7.50,7.50,5.50,7,6.50,6.50
6.50,6,5.25,5.75,6.25,5.25,7.50,5.50,6.50,6.75,7.50,7.50,4.50,6.50,7.50,9,7,6.75,9,7.50,8.25,7.75,7,5.50,7.50,7.25,6.25,6.25,6.50,6
6.50,6.50,5.50,5,6.25,6,7,5.25,6,6.50,6.50,7.50,5.25,8,7.25,7,7.75,7,7.50,7.50,8,8,7.75,5.754,6,7.50,7.50,6.25,5.75,7.25
5.25,6.75,5.50,6.25,6,5.75,6,7.25,7,6.25,5.25,8.50,7.50,7.75,8,8.25,9,9,6.50,7.25,7.25,7.25,9.50,6.50,7.50,7,8,6.25,6.75,8.25
7,5.75,4.75,5.75,6.50,6,6,5.25,6.50,5,6.50,7,7.75,8.25,8,9,7.75,8,9.25,9.50,8,6.75,7,6.50,8.25,7,6.25,6.50,6,8.25
6.50,7.50,4.75,6.50,6,5.75,7,6,6,7.50,6.50,7.50,7.25,8,6.50,9.50,8,10.25,7.50,7.50,7.25,6,7.50,5.75,8.25,7.25,5.50,7,7,6.50
6,6,5,7,7,6,7.50,6.50,6,6.50,8.50,7.50,6.50,7.25,8,9,7.25,7,7,6.75,8,5.50,5.75,5.25,6.75,6.50,6.25,6.25,6.50,6.50
7.50,8,6.50,7.50,7.25,9.75,8.50,6.25,5.50,10,7.50,7.50,9,8.25,10.50,10,9.75,9.50,7.75,8,9,6.75,9,8.25,7,7.50,9,8.50,8,7
5,5.50,5,4.25,5,5,6.50,5,4.50,6,5.50,8,5,6.75,7.50,8.50,8,8,6.75,5.75,7.50,5.75,7,5.25,6.25,6,5.75,6.25,6,7
6,6.50,4.25,6.50,6.25,6.25,7,4.50,6,8,7.50,7.75,8,8,9,8.25,8.50,6,7.50,7.50,9,6,7.75,5.75,6.75,6,6,7,6.50,5.50
7.25,6.50,6.75,6.50,7.50,7,6.50,5,7,8.75,8.50,7.50,7.50,9,8.25,7.75,8,7.75,5.75,7.75,7.50,5,6.25,5.75,7.25,9,7,8,5,6.50
4.75,7,5.75,6.25,6.50,5.50,9,6.25,6,8.25,6.75,6.50,6.25,8.25,7.25,6.50,6,8.25,6.50,8.50,6.75,8,8,7,6,6.75,5.50,5.50,5,6.50
7.50,7,7,7,6.75,5.75,7.25,5.50,6,8.75,6.50,7,5.25,7.25,7.25,7.50,7,6,6.50,8,8.25,5.50,6.50,5,6.50,6.75,6.50,5,4.25,6.25
6,5.50,5.50,6.50,7.50,6.50,6.50,6.25,5.50,7.50,6,5.75,6.50,7.75,7.50,8,7,6.50,7.75,8,6.25,6,7,5.25,5,6.50,6,6,5.50,5.25
6,5.50,5.75,8,5.75,7.50,6.50,6.50,5.50,7.75,7,7,5.50,7.50,8.25,6.50,9,8,8.50,7,7.50,6,6,5.50,7.50,4.75,7,4,5.25,5.75
4.50,5.25,5.50,7,6,6,6,4.50,6,7.75,6.50,5.25,6.50,4.50,5,6,7,8.25,9,8.25,7,6.50,6.50,6.50,6.50,7.25,5.50,6,6.25,5
4.25,6.50,5.75,6,5.50,5.50,6,5.50,7.50,7.50,6,6.25,6.50,8.50,6.25,7.50,8.50,7.50,5.25,8.25,7.75,5,7.50,7.25,6.50,6,6.50,6,5,6.25
5,7.25,5.50,6,5,5.25,6.75,7.50,8,7.75,4.25,6.50,5.25,6.75,5.75,7.75,8.50,7,7.75,6.75,8,5.75,7.75,7,6.25,5,6,6.50,7,6.50
5.75,5.75,5.50,8,6,6.50,7.50,7.25,6.75,8.25,5,5.50,5,7,8,7.50,8.25,6.50,8,8,6.50,6.50,8.50,6,5.25,5,6.50,6.50,5.50,6.50
6,7,6,6.75,6.25,7,7.50,6.50,6.50,8,5,4.50,8,7.50,6.75,7.25,7,7.25,6.75,8,8,8,8.75,7,6.50,5.50,5.50,6,6.25,6.50
4,5,5,5,6.50,5.25,4.50,4.75,6,6,6.50,4.25,4.50,6,6,5,7.25,6,6.25,7.50,5.50,5.25,6,5,5.25,5,4.50,4.25,3.50,4.50
5.50,6.50,6,7.50,5.75,5.75,7.25,6,6,5.75,5,5.50,6,7,7,5.25,8.25,7,7,6.50,7.75,6.75,6.50,6,5.50,4.75,6.50,5.50,5.50,4.25
6,7.75,6.25,6.50,6,7,7,8,6,7,6,6,7.50,7.75,7.75,6.50,8,7.50,7,6.75,7.75,5.25,6.50,6,6.75,5,5.50,7,4.75,6.25
