env,rep,gen,yield
1,1,1,139.82
1,1,2,182.52
1,1,3,171.71
1,1,4,200.49
1,1,5,157.23
1,1,6,177.22
1,1,7,55.36
1,1,8,89.54
1,1,9,296.50
1,1,10,312.21
1,1,11,189.00
1,1,12,191.90
1,1,13,76.46
1,1,14,111.02
1,1,15,22.30
1,1,16,208.14
1,1,17,19.81
1,1,18,208.63
1,2,1,141.26
1,2,2,182.52
1,2,3,160.97
1,2,4,164.43
1,2,5,157.23
1,2,6,209.38
1,2,7,36.59
1,2,8,186.04
1,2,9,117.47
1,2,10,261.03
1,2,11,177.81
1,2,12,136.19
1,2,13,102.65
1,2,14,113.56
1,2,15,34.50
1,2,16,171.96
1,2,17,19.81
1,2,18,174.48
1,3,1,126.72
1,3,2,182.52
1,3,3,138.15
1,3,4,143.66
1,3,5,157.23
1,3,6,97.89
1,3,7,17.81
1,3,8,105.88
1,3,9,190.61
1,3,10,286.62
1,3,11,178.94
1,3,12,158.15
1,3,13,109.12
1,3,14,100.63
1,3,15,22.30
1,3,16,187.13
1,3,17,19.81
1,3,18,192.81
1,4,1,114.52
1,4,2,182.52
1,4,3,166.40
1,4,4,233.68
1,4,5,157.23
1,4,6,173.92
1,4,7,36.59
1,4,8,109.22
1,4,9,337.58
1,4,10,286.62
1,4,11,162.52
1,4,12,143.02
1,4,13,97.21
1,4,14,77.32
1,4,15,10.17
1,4,16,185.20
1,4,17,19.81
1,4,18,122.02
2,1,1,401.71
2,1,2,296.22
2,1,3,180.31
2,1,4,102.44
2,1,5,174.77
2,1,6,101.79
2,1,7,342.70
2,1,8,635.42
2,1,9,601.30
2,1,10,268.96
2,1,11,181.88
2,1,12,333.85
2,1,13,473.24
2,1,14,423.43
2,1,15,227.89
2,1,16,399.58
2,1,17,312.58
2,1,18,300.55
2,2,1,210.38
2,2,2,375.53
2,2,3,51.14
2,2,4,87.83
2,2,5,38.22
2,2,6,59.34
2,2,7,60.21
2,2,8,470.73
2,2,9,490.42
2,2,10,169.50
2,2,11,367.92
2,2,12,405.51
2,2,13,591.95
2,2,14,226.56
2,2,15,555.83
2,2,16,267.66
2,2,17,293.45
2,2,18,249.79
2,3,1,166.95
2,3,2,337.11
2,3,3,385.30
2,3,4,148.35
2,3,5,104.99
2,3,6,104.79
2,3,7,84.98
2,3,8,238.12
2,3,9,375.67
2,3,10,243.75
2,3,11,607.38
2,3,12,530.08
2,3,13,490.56
2,3,14,345.96
2,3,15,365.30
2,3,16,182.14
2,3,17,35.40
2,3,18,266.65
2,4,1,192.17
2,4,2,314.83
2,4,3,231.17
2,4,4,176.17
2,4,5,102.79
2,4,6,404.35
2,4,7,266.55
2,4,8,585.90
2,4,9,291.40
2,4,10,103.68
2,4,11,257.85
2,4,12,754.33
2,4,13,1018.29
2,4,14,299.71
2,4,15,614.77
2,4,16,225.18
2,4,17,532.77
2,4,18,223.92
3,1,1,449.40
3,1,2,457.84
3,1,3,545.45
3,1,4,546.92
3,1,5,784.27
3,1,6,501.10
3,1,7,1098.97
3,1,8,882.42
3,1,9,820.68
3,1,10,918.20
3,1,11,997.25
3,1,12,595.64
3,1,13,1187.42
3,1,14,804.97
3,1,15,727.23
3,1,16,459.65
3,1,17,599.00
3,1,18,1327.45
3,2,1,440.62
3,2,2,515.34
3,2,3,962.56
3,2,4,908.08
3,2,5,444.36
3,2,6,295.59
3,2,7,937.06
3,2,8,579.89
3,2,9,697.83
3,2,10,709.76
3,2,11,557.84
3,2,12,432.89
3,2,13,620.71
3,2,14,532.64
3,2,15,646.57
3,2,16,648.48
3,2,17,163.59
3,2,18,895.10
3,3,1,663.81
3,3,2,625.93
3,3,3,932.53
3,3,4,671.24
3,3,5,700.09
3,3,6,195.59
3,3,7,798.29
3,3,8,795.27
3,3,9,740.16
3,3,10,692.33
3,3,11,743.36
3,3,12,703.71
3,3,13,825.03
3,3,14,523.61
3,3,15,732.65
3,3,16,421.30
3,3,17,286.94
3,3,18,1110.06
3,4,1,773.59
3,4,2,462.25
3,4,3,779.18
3,4,4,870.78
3,4,5,642.91
3,4,6,266.32
3,4,7,913.92
3,4,8,707.95
3,4,9,993.97
3,4,10,633.78
3,4,11,614.12
3,4,12,423.69
3,4,13,666.96
3,4,14,470.44
3,4,15,479.85
3,4,16,889.22
3,4,17,91.26
3,4,18,787.92
4,1,1,458.43
4,1,2,862.26
4,1,3,400.05
4,1,4,393.50
4,1,5,65.73
4,1,6,219.24
4,1,7,237.09
4,1,8,716.52
4,1,9,237.09
4,1,10,716.52
4,1,11,507.36
4,1,12,308.28
4,1,13,452.55
4,1,14,438.69
4,1,15,319.20
4,1,16,118.02
4,1,17,304.50
4,1,18,208.95
4,2,1,192.78
4,2,2,591.57
4,2,3,242.55
4,2,4,417.90
4,2,5,411.81
4,2,6,32.97
4,2,7,634.20
4,2,8,277.83
4,2,9,333.06
4,2,10,806.40
4,2,11,693.84
4,2,12,280.14
4,2,13,365.82
4,2,14,242.97
4,2,15,652.68
4,2,16,199.92
4,2,17,1265.04
4,2,18,670.70
4,3,1,338.52
4,3,2,604.80
4,3,3,204.12
4,3,4,442.26
4,3,5,397.74
4,3,6,153.30
4,3,7,607.53
4,3,8,341.25
4,3,9,435.12
4,3,10,534.24
4,3,11,567.63
4,3,12,272.16
4,3,13,653.30
4,3,14,468.09
4,3,15,614.25
4,3,16,471.66
4,3,17,2037.63
4,3,18,823.20
4,4,1,186.69
4,4,2,500.43
4,4,3,242.97
4,4,4,320.46
4,4,5,952.35
4,4,6,181.02
4,4,7,618.03
4,4,8,340.62
4,4,9,406.56
4,4,10,578.76
4,4,11,792.33
4,4,12,321.09
4,4,13,891.87
4,4,14,455.49
4,4,15,339.15
4,4,16,493.08
4,4,17,378.21
4,4,18,980.07
5,1,1,195.35
5,1,2,168.85
5,1,3,195.12
5,1,4,123.12
5,1,5,220.00
5,1,6,190.89
5,1,7,159.10
5,1,8,130.89
5,1,9,124.20
5,1,10,310.30
5,1,11,210.67
5,1,12,183.69
5,1,13,340.99
5,1,14,203.68
5,1,15,210.70
5,1,16,118.06
5,1,17,210.67
5,1,18,78.00
5,2,1,195.10
5,2,2,158.85
5,2,3,200.00
5,2,4,121.40
5,2,5,199.40
5,2,6,181.13
5,2,7,159.10
5,2,8,130.89
5,2,9,103.00
5,2,10,474.08
5,2,11,210.67
5,2,12,122.02
5,2,13,340.99
5,2,14,203.68
5,2,15,210.70
5,2,16,123.32
5,2,17,210.67
5,2,18,78.00
5,3,1,197.93
5,3,2,147.01
5,3,3,211.63
5,3,4,118.53
5,3,5,213.55
5,3,6,197.81
5,3,7,159.10
5,3,8,130.89
5,3,9,108.26
5,3,10,411.15
5,3,11,210.67
5,3,12,202.50
5,3,13,340.99
5,3,14,203.68
5,3,15,210.90
5,3,16,122.14
5,3,17,210.67
5,3,18,78.00
5,4,1,199.50
5,4,2,157.01
5,4,3,278.85
5,4,4,122.50
5,4,5,196.61
5,4,6,195.00
5,4,7,159.10
5,4,8,130.89
5,4,9,125.50
5,4,10,398.00
5,4,11,210.67
5,4,12,169.00
5,4,13,340.99
5,4,14,203.68
5,4,15,210.50
5,4,16,125.00
5,4,17,210.67
5,4,18,78.00
6,1,1,984.38
6,1,2,984.38
6,1,3,754.69
6,1,4,885.93
6,1,5,1209.37
6,1,6,1214.06
6,1,7,984.38
6,1,8,1181.25
6,1,9,1312.49
6,1,10,1082.81
6,1,11,953.13
6,1,12,1338.74
6,1,13,1214.06
6,1,14,1627.04
6,1,15,1575.00
6,1,16,820.31
6,1,17,1542.18
6,1,18,885.93
6,2,1,689.06
6,2,2,1220.62
6,2,3,885.69
6,2,4,271.88
6,2,5,885.69
6,2,6,1170.31
6,2,7,1050.00
6,2,8,1082.81
6,2,9,1575.00
6,2,10,1164.84
6,2,11,984.38
6,2,12,1338.73
6,2,13,1135.31
6,2,14,1657.04
6,2,15,2001.26
6,2,16,721.88
6,2,17,1312.50
6,2,18,984.38
6,3,1,836.72
6,3,2,1594.68
6,3,3,951.56
6,3,4,918.75
6,3,5,1181.25
6,3,6,787.50
6,3,7,1246.88
6,3,8,1312.50
6,3,9,1082.81
6,3,10,1575.00
6,3,11,1102.50
6,3,12,1345.31
6,3,13,1312.50
6,3,14,1673.44
6,3,15,1750.00
6,3,16,1279.68
6,3,17,1323.43
6,3,18,1050.00
6,4,1,836.68
6,4,2,1082.81
6,4,3,1017.19
6,4,4,1181.25
6,4,5,1443.75
6,4,6,1509.38
6,4,7,1345.31
6,4,8,1378.13
6,4,9,1279.68
6,4,10,1246.87
6,4,11,1050.00
6,4,12,1332.18
6,4,13,1220.62
6,4,14,1640.63
6,4,15,1673.44
6,4,16,853.13
6,4,17,1115.63
6,4,18,1050.00
